nid:ID,:LABEL,label,date
0,News,267286,2015-01-01
8,News,267288,2015-01-01
43,News,267289,2015-01-01
72,News,267294,2015-01-01
200,News,267301,2015-01-01
226,News,267303,2015-01-01
241,News,267305,2015-01-01
253,News,267307,2015-01-01
277,News,267309,2015-01-01
297,News,267311,2015-01-01
306,News,267312,2015-01-01
314,News,267317,2015-01-01
334,News,267319,2015-01-01
341,News,267328,2015-01-01
347,News,267331,2015-01-01
368,News,267334,2015-01-01
389,News,267337,2015-01-01
417,News,267338,2015-01-01
430,News,267341,2015-01-01
435,News,267343,2015-01-01
439,News,267346,2015-01-01
457,News,267358,2015-01-01
472,News,267360,2015-01-01
483,News,267364,2015-01-02
509,News,267366,2015-01-02
514,News,267370,2015-01-02
518,News,267372,2015-01-02
538,News,267374,2015-01-02
547,News,267375,2015-01-02
565,News,267376,2015-01-02
579,News,267379,2015-01-02
584,News,267380,2015-01-02
590,News,267381,2015-01-02
593,News,267382,2015-01-02
600,News,267383,2015-01-02
610,News,267387,2015-01-02
627,News,267391,2015-01-02
636,News,267392,2015-01-02
652,News,267396,2015-01-02
665,News,267399,2015-01-02
680,News,267402,2015-01-02
685,News,267407,2015-01-02
702,News,267409,2015-01-02
715,News,267414,2015-01-02
725,News,267418,2015-01-02
742,News,267421,2015-01-02
769,News,267433,2015-01-02
787,News,267434,2015-01-02
791,News,267437,2015-01-02
793,News,267445,2015-01-02
795,News,267448,2015-01-02
802,News,267454,2015-01-02
811,News,267457,2015-01-02
840,News,267459,2015-01-02
858,News,267470,2015-01-03
888,News,267472,2015-01-03
890,News,267473,2015-01-03
897,News,267474,2015-01-03
910,News,267479,2015-01-03
933,News,267486,2015-01-03
940,News,267490,2015-01-03
955,News,267492,2015-01-03
965,News,267494,2015-01-03
966,News,267495,2015-01-03
1005,News,267497,2015-01-03
1022,News,267498,2015-01-03
1031,News,267506,2015-01-03
1044,News,267509,2015-01-03
1057,News,267510,2015-01-03
1066,News,267512,2015-01-03
1075,News,267529,2015-01-04
1079,News,267533,2015-01-04
1101,News,267537,2015-01-04
1123,News,267544,2015-01-04
1128,News,267554,2015-01-04
1184,News,267558,2015-01-04
1190,News,267559,2015-01-04
1219,News,267560,2015-01-04
1240,News,267561,2015-01-04
1249,News,267567,2015-01-05
1266,News,267571,2015-01-05
1287,News,267573,2015-01-05
1305,News,267580,2015-01-05
1315,News,267582,2015-01-05
1320,News,267584,2015-01-05
1370,News,267589,2015-01-05
1385,News,267594,2015-01-05
1391,News,267602,2015-01-05
1406,News,267603,2015-01-05
1414,News,267605,2015-01-05
1492,News,267607,2015-01-05
1494,News,267610,2015-01-05
1495,News,267611,2015-01-05
1499,News,267616,2015-01-05
1510,News,267617,2015-01-05
1518,News,267618,2015-01-05
1530,News,267620,2015-01-05
1543,News,267623,2015-01-05
1557,News,267625,2015-01-05
1562,News,267629,2015-01-05
1567,News,267650,2015-01-05
1601,News,267658,2015-01-06
1620,News,267661,2015-01-06
1626,News,267666,2015-01-06
1660,News,267667,2015-01-06
1666,News,267670,2015-01-06
1673,News,267676,2015-01-06
1676,News,267678,2015-01-06
1683,News,267679,2015-01-06
1692,News,267680,2015-01-06
1704,News,267681,2015-01-06
1720,News,267682,2015-01-06
1721,News,267683,2015-01-06
1738,News,267688,2015-01-06
1743,News,267691,2015-01-06
1748,News,267694,2015-01-06
1769,News,267695,2015-01-06
1781,News,267696,2015-01-06
1795,News,267699,2015-01-06
1805,News,267704,2015-01-06
1838,News,267705,2015-01-06
1842,News,267711,2015-01-06
1851,News,267722,2015-01-06
1862,News,267723,2015-01-06
1866,News,267724,2015-01-06
1877,News,267736,2015-01-06
1884,News,267745,2015-01-06
1891,News,267755,2015-01-07
1894,News,267757,2015-01-07
1902,News,267762,2015-01-07
1910,News,267768,2015-01-07
1914,News,267769,2015-01-07
1922,News,267770,2015-01-07
1944,News,267772,2015-01-07
1956,News,267774,2015-01-07
1984,News,267775,2015-01-07
1995,News,267778,2015-01-07
2006,News,267781,2015-01-07
